src_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,---,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,sbin0,sbin1,sbin2,sbin3,sbin4,sbin5,sbin6,sbin7,sbin8,sbin9,area
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,8,0.7,___,5,5660,6250,5660,6250,4896,4842,0.855477,0.77472,0.865018,0.78336,2820,4,17,15,38,23,31,104,1259,1939,2820,2824,2841,2856,2894,2917,2948,3052,4311,6250,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,8,0.3,___,6,6438,6708,6438,6708,5315,5315,0.825567,0.792338,0.825567,0.792338,3097,2,23,31,32,26,40,116,1480,1861,3097,3099,3122,3153,3185,3211,3251,3367,4847,6708,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,9,0.7,___,6,6587,7338,6587,7338,6523,6427,0.97571,0.875852,0.990284,0.888934,3415,8,23,29,33,22,30,140,1484,2154,3415,3423,3446,3475,3508,3530,3560,3700,5184,7338,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.25,6,9,0.3,___,6,7666,8029,7666,8029,7657,7619,0.993869,0.948935,0.998826,0.953668,3995,7,29,30,43,39,56,137,1682,2011,3995,4002,4031,4061,4104,4143,4199,4336,6018,8029,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,8,0.7,___,2,1224,1386,1226,1388,855,854,0.697712,0.616162,0.69739,0.615994,667,7,11,15,21,6,9,34,110,506,667,674,685,700,721,727,736,770,880,1386,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,8,0.3,___,2,1297,1403,1299,1404,890,890,0.686199,0.634355,0.685142,0.633903,680,3,9,20,18,11,6,24,117,515,680,683,692,712,730,741,747,771,888,1403,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,9,0.7,___,3,1505,1689,1507,1690,1052,1027,0.682392,0.608052,0.698076,0.622485,749,6,10,10,23,16,18,34,172,651,749,755,765,775,798,814,832,866,1038,1689,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,10,0.99,6,9,0.3,___,2,1610,1730,1612,1733,1097,1086,0.674534,0.627746,0.680521,0.633006,768,10,12,13,8,19,17,44,177,662,768,778,790,803,811,830,847,891,1068,1730,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,8,0.7,___,7,4287,5339,4288,5339,4087,3921,0.914626,0.734407,0.953125,0.765499,2303,4,21,26,16,14,19,69,870,1997,2303,2307,2328,2354,2370,2384,2403,2472,3342,5339,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,8,0.3,___,6,5983,6404,5984,6404,5168,5083,0.849574,0.793723,0.863636,0.806996,2959,11,13,33,31,9,44,107,1342,1855,2959,2970,2983,3016,3047,3056,3100,3207,4549,6404,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,9,0.7,___,6,4740,6107,4744,6109,5114,4797,1.01203,0.785492,1.07799,0.837126,2586,17,20,31,18,16,35,87,1166,2131,2586,2603,2623,2654,2672,2688,2723,2810,3976,6107,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.25,6,9,0.3,___,7,7024,7503,7028,7505,6965,6963,0.991315,0.928029,0.991036,0.928048,3632,14,17,41,54,18,41,178,1631,1877,3632,3646,3663,3704,3758,3776,3817,3995,5626,7503,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,8,0.7,___,3,1068,1228,1068,1228,725,697,0.652622,0.56759,0.678839,0.590391,517,5,21,12,16,13,12,21,111,500,517,522,543,555,571,584,596,617,728,1228,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,8,0.3,___,3,1227,1384,1227,1384,851,848,0.691117,0.612717,0.693562,0.614884,598,9,23,28,10,6,13,18,139,540,598,607,630,658,668,674,687,705,844,1384,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,9,0.7,___,3,1339,1373,1339,1373,934,934,0.697535,0.680262,0.697535,0.680262,653,10,20,17,18,8,9,31,159,448,653,663,683,700,718,726,735,766,925,1373,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,17,0.99,6,9,0.3,___,3,1546,1672,1546,1672,1095,1094,0.707633,0.654306,0.708279,0.654904,756,3,19,26,15,13,24,39,184,593,756,759,778,804,819,832,856,895,1079,1672,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,8,0.7,___,6,2873,4135,2875,4137,2825,2634,0.916812,0.637001,0.982609,0.682862,1553,5,16,20,7,10,32,69,638,1785,1553,1558,1574,1594,1601,1611,1643,1712,2350,4135,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,8,0.3,___,6,5396,5791,5398,5793,4993,4989,0.924574,0.861509,0.924972,0.861902,2792,8,5,22,19,16,38,130,1231,1530,2792,2800,2805,2827,2846,2862,2900,3030,4261,5791,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,9,0.7,___,5,2988,4428,2990,4430,3319,3317,1.11011,0.749097,1.11003,0.74921,1848,10,18,28,15,18,35,103,729,1624,1848,1858,1876,1904,1919,1937,1972,2075,2804,4428,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.25,6,9,0.3,___,6,6166,6867,6168,6867,6376,6327,1.02611,0.921363,1.03372,0.928499,3384,7,12,30,20,25,55,151,1421,1762,3384,3391,3403,3433,3453,3478,3533,3684,5105,6867,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.99,6,8,0.7,___,3,867,1000,867,1000,591,586,0.675894,0.586,0.681661,0.591,440,10,13,14,8,6,13,23,102,371,440,450,463,477,485,491,504,527,629,1000,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.99,6,8,0.3,___,2,1123,1289,1123,1289,760,720,0.64114,0.558573,0.676759,0.589604,515,2,9,6,4,9,13,27,119,585,515,517,526,532,536,545,558,585,704,1289,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.99,6,9,0.7,___,2,1049,1124,1049,1124,819,819,0.780744,0.728648,0.780744,0.728648,545,12,10,15,17,9,11,42,100,363,545,557,567,582,599,608,619,661,761,1124,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,22.5,0.99,6,9,0.3,___,3,1416,1525,1416,1525,1006,992,0.700565,0.650492,0.710452,0.659672,645,4,21,18,15,5,25,33,163,596,645,649,670,688,703,708,733,766,929,1525,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,27.5,0.25,6,8,0.7,___,6,2071,3200,2071,3202,1885,1676,0.809271,0.52375,0.910188,0.588695,1030,7,5,15,11,8,26,54,413,1631,1030,1037,1042,1057,1068,1076,1102,1156,1569,3200,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,27.5,0.25,6,8,0.3,___,6,4927,5510,4927,5512,4553,4464,0.906028,0.810163,0.924092,0.826016,2510,6,9,8,12,15,36,78,1113,1723,2510,2516,2525,2533,2545,2560,2596,2674,3787,5510,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,27.5,0.25,6,9,0.7,___,6,2035,3241,2036,3241,2296,2107,1.03538,0.650108,1.1277,0.708423,1186,1,17,11,16,13,41,63,368,1525,1186,1187,1204,1215,1231,1244,1285,1348,1716,3241,21979.1
../../data/cloud_overlap_1.pcd,../../data/cloud_overlap_1.pcd,21309,21309,0,0.1,0,0,0,SWIFT,0,0,0,2,27.5,0.25,6,9,0.3,___,6,5591,6443,5592,6446,6085,6001,1.07333,0.931398,1.08816,0.943996,3075,1,11,20,20,29,63,110,1327,1787,3075,3076,3087,3107,3127,3156,3219,3329,4656,6443,21979.1
