lsrc_file,tgt_file,Src_points,Tgt-points,noise_offest,noise_stdv,x_o,y_o,z_o,keypoint_method,Red,Green,Blue,Jetstatus,Stacked_height_threshold,min_scale_SIFT,nr_octaves_SIFT,nr_scales_per_octave_SIFT,min_contrast_SIFT,set_radius_harris,set_radius_search_harris,HarrisRosponseMethod,___,comp_time[s],keypoints_1_inOverlap,keypoints_2_inOverlap,Total_Keypoints_1,Total_Keypoints_2,keypoint_Overlap_cnt,keypoint_Overlaparea_fit_cnt,overlap_rate_1,overlap_rate_2,total_overlap_rate_1,total_overlap_rate_2
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,8,0.5,1.7,1.7,LOWE,___,53,9785,10325,31954,10326,5765,3031,0.30976,0.293559,0.180416,0.558299
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,8,0.7,1.7,1.7,LOWE,___,53,4832,6140,17746,6145,2420,762,0.157699,0.124104,0.136369,0.393816
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,8,0.3,1.7,1.7,LOWE,___,52,16974,14007,52058,14007,9745,4332,0.255214,0.309274,0.187195,0.695724
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,9,0.5,1.7,1.7,LOWE,___,56,9661,10878,32574,10878,6430,3055,0.31622,0.280842,0.197397,0.591101
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,9,0.7,1.7,1.7,LOWE,___,56,4322,5354,16713,5354,2261,650,0.150393,0.121405,0.135284,0.422301
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,6,9,0.3,1.7,1.7,LOWE,___,59,18622,16097,57343,16097,12270,5683,0.305177,0.353047,0.213976,0.762254
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,8,0.5,1.7,1.7,LOWE,___,55,9949,10408,32448,10408,5538,2817,0.283144,0.270657,0.170673,0.532091
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,8,0.7,1.7,1.7,LOWE,___,53,4996,6253,18237,6253,2457,775,0.155124,0.123941,0.134726,0.392931
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,8,0.3,1.7,1.7,LOWE,___,56,17138,13834,52556,13836,9603,4296,0.250671,0.310539,0.182719,0.694059
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,9,0.5,1.7,1.7,LOWE,___,58,9841,10996,33139,10998,6492,3012,0.306066,0.273918,0.195902,0.590289
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,9,0.7,1.7,1.7,LOWE,___,57,4502,5563,17275,5565,2333,592,0.131497,0.106417,0.135051,0.419227
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.1,7,9,0.3,1.7,1.7,LOWE,___,58,18804,15950,57916,15950,11976,5471,0.290949,0.343009,0.206782,0.750846
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.5,1.7,1.7,LOWE,___,47,10027,10374,32888,10378,5794,2047,0.204149,0.19732,0.176174,0.558296
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.7,1.7,1.7,LOWE,___,46,4977,6084,18546,6084,2368,1093,0.21961,0.179652,0.127683,0.389218
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,8,0.3,1.7,1.7,LOWE,___,46,17175,13857,52288,13857,9762,2939,0.171121,0.212095,0.186697,0.704481
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.5,1.7,1.7,LOWE,___,49,9990,10909,33839,10912,6346,2397,0.23994,0.219727,0.187535,0.581562
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.7,1.7,1.7,LOWE,___,50,4554,5568,17518,5568,2189,962,0.211243,0.172773,0.124957,0.393139
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,6,9,0.3,1.7,1.7,LOWE,___,49,18974,15942,58235,15944,12596,3991,0.21034,0.250345,0.216296,0.790015
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,8,0.5,1.7,1.7,LOWE,___,46,10053,10632,32986,10632,5934,2058,0.204715,0.193567,0.179895,0.558126
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,8,0.7,1.7,1.7,LOWE,___,46,5003,6118,18644,6118,2514,1116,0.223066,0.182413,0.134842,0.410919
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,8,0.3,1.7,1.7,LOWE,___,46,17201,13861,52389,13862,9921,2893,0.168188,0.208715,0.189372,0.715698
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,9,0.5,1.7,1.7,LOWE,___,49,10021,11035,33965,11038,6220,2323,0.231813,0.210512,0.18313,0.563508
../../data/cloud_nocoor.pcd,../../data/cloud_overlap__big_2.pcd,287446,56880,0,0.1,0,0,0,SWIFT,0,0,0,2,30,0.25,7,9,0.7,1.7,1.7,LOWE,___,52,4585,5513,17644,5513,2119,929,0.202617,0.168511,0.120097,0.384364
